"user","video","segmentIndex","segmentTitle","mainEvaluation","mainCorrection","mainComment","sub1_index","sub1_title","sub1_evaluation","sub1_correction","sub1_comment","sub2_index","sub2_title","sub2_evaluation","sub2_correction","sub2_comment","sub3_index","sub3_title","sub3_evaluation","sub3_correction","sub3_comment","sub4_index","sub4_title","sub4_evaluation","sub4_correction","sub4_comment","sub5_index","sub5_title","sub5_evaluation","sub5_correction","sub5_comment","sub6_index","sub6_title","sub6_evaluation","sub6_correction","sub6_comment","sub7_index","sub7_title","sub7_evaluation","sub7_correction","sub7_comment","sub8_index","sub8_title","sub8_evaluation","sub8_correction","sub8_comment","sub9_index","sub9_title","sub9_evaluation","sub9_correction","sub9_comment","sub10_index","sub10_title","sub10_evaluation","sub10_correction","sub10_comment"
"razan","1","1","Setup and Preparation","Correct","","","1","Non-Verbal Behavior","Correct","","","2","Non-Verbal Behavior","Correct","","","3","FAU Codes","Correct","","","4","FAU Codes","Correct","","","5","Plutchik’s Wheel","Correct","","","6","Emotional Intensity","Correct","","","","","","","","","","","","","","","","","","","","","",""
"razan","1","2","Absence","Correct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"razan","1","3","Interaction and Troubleshooting","Correct","","","1","Non-Verbal Behavior","Correct","","","2","Non-Verbal Behavior","Correct","","","3","Non-Verbal Behavior","Correct","","","4","FAU Codes","Correct","","","5","FAU Codes","Correct","","","6","FAU Codes","Correct","","","7","Plutchik’s Wheel","Correct","","","8","Plutchik’s Wheel","Correct","","","9","Emotional Intensity","Correct","","","10","Emotional Intensity","Correct","",""
"razan","1","4","Voice Command Failure","Correct","","","1","Non-Verbal Behavior","Correct","","","2","Non-Verbal Behavior","Correct","","","3","Non-Verbal Behavior","Correct","","","4","FAU Codes","Correct","","","5","FAU Codes","Correct","","","6","Plutchik’s Wheel","Correct","","","7","Emotional Intensity","Correct","","","","","","","","","","","","","","","","",""
"razan","1","5","Final Attempt and Confusion","Correct","","","1","Non-Verbal Behavior","Correct","","","2","Non-Verbal Behavior","Correct","","","3","FAU Codes","Correct","","","4","FAU Codes","Correct","","","5","Plutchik’s Wheel","Correct","","","6","Emotional Intensity","Correct","","","","","","","","","","","","","","","","","","","","","",""
"razan","1","1","Setup and Preparation","Correct","sjgvasv","","1","Non-Verbal Behavior","Correct","sDVJO","","2","Non-Verbal Behavior","Correct","","","3","FAU Codes","Correct","","","4","FAU Codes","Correct","","","5","Plutchik’s Wheel","Correct","","","6","Emotional Intensity","Correct","","","","","","","","","","","","","","","","","","","","","",""
"razan","1","2","Absence","Correct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"razan","1","3","Interaction and Troubleshooting","Correct","","","1","Non-Verbal Behavior","Correct","","","2","Non-Verbal Behavior","Correct","","","3","Non-Verbal Behavior","Correct","","","4","FAU Codes","Correct","","","5","FAU Codes","Correct","","","6","FAU Codes","Correct","","","7","Plutchik’s Wheel","Correct","","","8","Plutchik’s Wheel","Incorrect","","","9","Emotional Intensity","Correct","","","10","Emotional Intensity","Correct","",""
"razan","1","4","Voice Command Failure","Correct","","","1","Non-Verbal Behavior","Correct","","","2","Non-Verbal Behavior","Correct","","","3","Non-Verbal Behavior","Correct","","","4","FAU Codes","Correct","","","5","FAU Codes","Correct","","","6","Plutchik’s Wheel","Correct","","","7","Emotional Intensity","Correct","","","","","","","","","","","","","","","","",""
"razan","1","5","Final Attempt and Confusion","Correct","","","1","Non-Verbal Behavior","Not Marked","","","2","Non-Verbal Behavior","Correct","","","3","FAU Codes","Correct","","","4","FAU Codes","Correct","","","5","Plutchik’s Wheel","Correct","","","6","Emotional Intensity","Correct","","","","","","","","","","","","","","","","","","","","","",""
"razan","1","1","Setup and Preparation","Correct","","","1","Non-Verbal Behavior","Correct","","","2","Non-Verbal Behavior","Correct","","","3","FAU Codes","Correct","","","4","FAU Codes","Correct","","","5","Plutchik’s Wheel","Correct","","","6","Emotional Intensity","Correct","","","","","","","","","","","","","","","","","","","","","",""
"razan","1","2","Absence","Correct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"razan","1","3","Interaction and Troubleshooting","Correct","","","1","Non-Verbal Behavior","Correct","","","2","Non-Verbal Behavior","Correct","","","3","Non-Verbal Behavior","Correct","","","4","FAU Codes","Correct","","","5","FAU Codes","Correct","","","6","FAU Codes","Correct","","","7","Plutchik’s Wheel","Correct","","","8","Plutchik’s Wheel","Correct","","","9","Emotional Intensity","Correct","","","10","Emotional Intensity","Correct","",""
"razan","1","4","Voice Command Failure","Correct","","","1","Non-Verbal Behavior","Correct","","","2","Non-Verbal Behavior","Correct","","","3","Non-Verbal Behavior","Correct","","","4","FAU Codes","Correct","","","5","FAU Codes","Correct","","","6","Plutchik’s Wheel","Correct","","","7","Emotional Intensity","Correct","","","","","","","","","","","","","","","","",""
"razan","1","5","Final Attempt and Confusion","Correct","","","1","Non-Verbal Behavior","Correct","","","2","Non-Verbal Behavior","Correct","","","3","FAU Codes","Correct","","","4","FAU Codes","Correct","","","5","Plutchik’s Wheel","Correct","","","6","Emotional Intensity","Correct","","","","","","","","","","","","","","","","","","","","","",""
"razan","1","1","Setup and Preparation","Correct","","","1","Non-Verbal Behavior","Correct","","","2","Non-Verbal Behavior","Correct","","","3","FAU Codes","Correct","","","4","FAU Codes","Correct","","","5","Plutchik’s Wheel","Correct","","","6","Emotional Intensity","Correct","","","","","","","","","","","","","","","","","","","","","",""
"razan","1","2","Absence","Correct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"razan","1","3","Interaction and Troubleshooting","Correct","","","1","Non-Verbal Behavior","Correct","","","2","Non-Verbal Behavior","Correct","","","3","Non-Verbal Behavior","Correct","","","4","FAU Codes","Correct","","","5","FAU Codes","Correct","","","6","FAU Codes","Correct","","","7","Plutchik’s Wheel","Correct","","","8","Plutchik’s Wheel","Correct","","","9","Emotional Intensity","Correct","","","10","Emotional Intensity","Correct","",""
"razan","1","4","Voice Command Failure","Correct","","","1","Non-Verbal Behavior","Correct","","","2","Non-Verbal Behavior","Correct","","","3","Non-Verbal Behavior","Correct","","","4","FAU Codes","Correct","","","5","FAU Codes","Correct","","","6","Plutchik’s Wheel","Correct","","","7","Emotional Intensity","Correct","","","","","","","","","","","","","","","","",""
"razan","1","5","Final Attempt and Confusion","Correct","","","1","Non-Verbal Behavior","Correct","","","2","Non-Verbal Behavior","Correct","","","3","FAU Codes","Correct","","","4","FAU Codes","Correct","","","5","Plutchik’s Wheel","Correct","","","6","Emotional Intensity","Correct","","","","","","","","","","","","","","","","","","","","","",""
